level=info msg="Queuing URLs for africaioc"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=167"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=139"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=210"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=59"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=87"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=128"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=299"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=84"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=168"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=123"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=89"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=241"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=86"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=147"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=132"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=332"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=145"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=129"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=133"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=247"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=171"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=130"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=135"
